workload,N,dtype,device,variant,ms,speedup,compile_s,maxdiff,ok,note
neohookean,10000,float64,cpu,eager_rev,1049.939390271902,1.0859291315780684,0.0,1.7151983764362776e-16,True,
neohookean,10000,float64,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,10000,float64,cpu,compiled[fusion],49.413603357970715,23.07380342266941,7.022410787642002,1.7151983764362776e-16,True,
neohookean,10000,float64,cpu,compiled[cuda_graphs],50.20824559032917,22.708616022767075,6.545320177450776,1.7151983764362776e-16,True,
neohookean_torchdet,1000,float32,cpu,eager_fwd(lib),529.8349875956774,1.0,0.0,0.0,True,baseline
neohookean_torchdet,1000,float32,cpu,eager_rev,560.2542256936431,0.9457045807011913,0.0,1.0000009425369172,True,
neohookean_torchdet,1000,float32,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,1000,float32,cpu,compiled[fusion],339.83884900808334,1.559077160077937,0.9482583235949278,1.0000009425369172,False,
neohookean_torchdet,1000,float32,cpu,compiled[cuda_graphs],320.03997415304184,1.6555275290152112,0.6941620223224163,1.0000009425369172,False,
neohookean_torchdet,10000,float32,cpu,eager_fwd(lib),1090.2575332671404,1.0,0.0,0.0,True,baseline
neohookean_torchdet,10000,float32,cpu,eager_rev,1021.6320887207986,1.0671723659661756,0.0,1.0,True,
neohookean_torchdet,10000,float32,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,10000,float32,cpu,compiled[fusion],570.1358864083886,1.9122766330940768,1.3503084778785706,1.0,False,
neohookean_torchdet,10000,float32,cpu,compiled[cuda_graphs],580.036548897624,1.8796359218039034,1.0983327701687813,1.0,False,
neohookean_torchdet,1000,float64,cpu,eager_fwd(lib),619.8213720694184,1.0,0.0,0.0,True,baseline
neohookean_torchdet,1000,float64,cpu,eager_rev,709.7765449434519,0.8732626859609736,0.0,nan,True,
neohookean_torchdet,1000,float64,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,1000,float64,cpu,compiled[fusion],339.9399699643254,1.8233259599760063,0.7532286774367094,nan,False,
neohookean_torchdet,1000,float64,cpu,compiled[cuda_graphs],349.56873934715986,1.7731029760469177,0.6994321402162313,nan,False,
neohookean_torchdet,10000,float64,cpu,eager_fwd(lib),1239.948152936995,1.0,0.0,0.0,True,baseline
neohookean_torchdet,10000,float64,cpu,eager_rev,1419.8390539735556,0.8733019066258823,0.0,nan,True,
neohookean_torchdet,10000,float64,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,10000,float64,cpu,compiled[fusion],660.0426066666842,1.8785880493365759,0.9562524128705263,nan,False,
neohookean_torchdet,10000,float64,cpu,compiled[cuda_graphs],590.237851627171,2.1007601418965236,1.095056151971221,nan,False,
